fueltype,aspiration,carbody,drivewheel,enginetype,stroke,wheelbase,curbweight,carlength,carwidth,carheight,enginesize,boreratio,horsepower,citympg,highwaympg,price
gas,std,convertible,rwd,dohc,2,88.6,2548,168.8,64.1,48.8,130,3.47,111,21,27,13495
gas,std,convertible,rwd,dohc,2,88.6,2548,168.8,64.1,48.8,130,3.47,111,21,27,16500
gas,std,hatchback,rwd,ohcv,4,94.5,2823,171.2,65.5,52.4,152,2.68,154,19,26,16500
gas,std,sedan,fwd,ohc,4,99.8,2337,176.6,66.2,54.3,109,3.19,102,24,30,13950
gas,std,sedan,4wd,ohc,4,99.4,2824,176.6,66.4,54.3,136,3.19,115,18,22,17450
gas,std,sedan,fwd,ohc,4,99.8,2507,177.3,66.3,53.1,136,3.19,110,19,25,15250
gas,std,sedan,fwd,ohc,4,105.8,2844,192.7,71.4,55.7,136,3.19,110,19,25,17710
gas,std,wagon,fwd,ohc,4,105.8,2954,192.7,71.4,55.7,136,3.19,110,19,25,18920
gas,turbo,sedan,fwd,ohc,4,105.8,3086,192.7,71.4,55.9,131,3.13,140,17,20,23875
gas,turbo,hatchback,4wd,ohc,4,99.5,3053,178.2,67.9,52,131,3.13,160,16,22,17859.167
gas,std,sedan,rwd,ohc,2,101.2,2395,176.8,64.8,54.3,108,3.5,101,23,29,16430
gas,std,sedan,rwd,ohc,2,101.2,2395,176.8,64.8,54.3,108,3.5,101,23,29,16925
gas,std,sedan,rwd,ohc,4,101.2,2710,176.8,64.8,54.3,164,3.31,121,21,28,20970
gas,std,sedan,rwd,ohc,4,101.2,2765,176.8,64.8,54.3,164,3.31,121,21,28,21105
gas,std,sedan,rwd,ohc,4,103.5,3055,189,66.9,55.7,164,3.31,121,20,25,24565
gas,std,sedan,rwd,ohc,4,103.5,3230,189,66.9,55.7,209,3.62,182,16,22,30760
gas,std,sedan,rwd,ohc,4,103.5,3380,193.8,67.9,53.7,209,3.62,182,16,22,41315
gas,std,sedan,rwd,ohc,4,110,3505,197,70.9,56.3,209,3.62,182,15,20,36880
gas,std,hatchback,fwd,l,4,88.4,1488,141.1,60.3,53.2,61,2.91,48,47,53,5151
gas,std,hatchback,fwd,ohc,4,94.5,1874,155.9,63.6,52,90,3.03,70,38,43,6295
gas,std,sedan,fwd,ohc,4,94.5,1909,158.8,63.6,52,90,3.03,70,38,43,6575
gas,std,hatchback,fwd,ohc,4,93.7,1876,157.3,63.8,50.8,90,2.97,68,37,41,5572
gas,std,hatchback,fwd,ohc,4,93.7,1876,157.3,63.8,50.8,90,2.97,68,31,38,6377
gas,turbo,hatchback,fwd,ohc,4,93.7,2128,157.3,63.8,50.8,98,3.03,102,24,30,7957
gas,std,hatchback,fwd,ohc,4,93.7,1967,157.3,63.8,50.6,90,2.97,68,31,38,6229
gas,std,sedan,fwd,ohc,4,93.7,1989,157.3,63.8,50.6,90,2.97,68,31,38,6692
gas,std,sedan,fwd,ohc,4,93.7,1989,157.3,63.8,50.6,90,2.97,68,31,38,7609
gas,turbo,sedan,fwd,ohc,4,93.7,2191,157.3,63.8,50.6,98,3.03,102,24,30,8558
gas,std,wagon,fwd,ohc,4,103.3,2535,174.6,64.6,59.8,122,3.34,88,24,30,8921
gas,turbo,hatchback,fwd,ohc,4,95.9,2811,173.2,66.3,50.2,156,3.6,145,19,24,12964
gas,std,hatchback,fwd,ohc,4,86.6,1713,144.6,63.9,50.8,92,2.91,58,49,54,6479
gas,std,hatchback,fwd,ohc,4,86.6,1819,144.6,63.9,50.8,92,2.91,76,31,38,6855
gas,std,hatchback,fwd,ohc,4,93.7,1837,150,64,52.6,79,2.91,60,38,42,5399
gas,std,hatchback,fwd,ohc,4,93.7,1940,150,64,52.6,92,2.91,76,30,34,6529
gas,std,hatchback,fwd,ohc,4,93.7,1956,150,64,52.6,92,2.91,76,30,34,7129
